run_id,beamOn,Emean_MeV,sigmaE_MeV,sigmaTheta_deg,sigma_x_mm,sigma_y_mm
401,1000000,9.750,1.30,0.2,0.73,0.73
402,1000000,9.750,1.35,0.2,0.73,0.73
403,1000000,9.750,1.40,0.2,0.73,0.73
404,1000000,9.750,1.45,0.2,0.73,0.73
405,1000000,9.750,1.50,0.2,0.73,0.73

406,1000000,9.775,1.30,0.2,0.73,0.73
407,1000000,9.775,1.35,0.2,0.73,0.73
408,1000000,9.775,1.40,0.2,0.73,0.73
409,1000000,9.775,1.45,0.2,0.73,0.73
410,1000000,9.775,1.50,0.2,0.73,0.73

411,1000000,9.800,1.30,0.2,0.73,0.73
412,1000000,9.800,1.35,0.2,0.73,0.73
413,1000000,9.800,1.40,0.2,0.73,0.73
414,1000000,9.800,1.45,0.2,0.73,0.73
415,1000000,9.800,1.50,0.2,0.73,0.73

416,1000000,9.825,1.30,0.2,0.73,0.73
417,1000000,9.825,1.35,0.2,0.73,0.73
418,1000000,9.825,1.40,0.2,0.73,0.73
419,1000000,9.825,1.45,0.2,0.73,0.73
420,1000000,9.825,1.50,0.2,0.73,0.73

421,1000000,9.850,1.30,0.2,0.73,0.73
422,1000000,9.850,1.35,0.2,0.73,0.73
423,1000000,9.850,1.40,0.2,0.73,0.73
424,1000000,9.850,1.45,0.2,0.73,0.73
425,1000000,9.850,1.50,0.2,0.73,0.73
