run_id,beamOn,Emean_MeV,sigmaE_MeV,sigmaTheta_deg,sigma_x_mm,sigma_y_mm
001,300000,9.55,0.10,0.0,0.73,0.73
002,300000,9.55,0.10,0.2,0.73,0.73
003,300000,9.55,0.10,0.4,0.73,0.73
004,300000,9.55,0.10,0.6,0.73,0.73
005,300000,9.55,0.15,0.0,0.73,0.73
006,300000,9.55,0.15,0.2,0.73,0.73
007,300000,9.55,0.15,0.4,0.73,0.73
008,300000,9.55,0.15,0.6,0.73,0.73
009,300000,9.55,0.20,0.0,0.73,0.73
010,300000,9.55,0.20,0.2,0.73,0.73
011,300000,9.55,0.20,0.4,0.73,0.73
012,300000,9.55,0.20,0.6,0.73,0.73
013,300000,9.55,0.25,0.0,0.73,0.73
014,300000,9.55,0.25,0.2,0.73,0.73
015,300000,9.55,0.25,0.4,0.73,0.73
016,300000,9.55,0.25,0.6,0.73,0.73
017,300000,9.55,0.30,0.0,0.73,0.73
018,300000,9.55,0.30,0.2,0.73,0.73
019,300000,9.55,0.30,0.4,0.73,0.73
020,300000,9.55,0.30,0.6,0.73,0.73
021,300000,9.60,0.10,0.0,0.73,0.73
022,300000,9.60,0.10,0.2,0.73,0.73
023,300000,9.60,0.10,0.4,0.73,0.73
024,300000,9.60,0.10,0.6,0.73,0.73
025,300000,9.60,0.15,0.0,0.73,0.73
026,300000,9.60,0.15,0.2,0.73,0.73
027,300000,9.60,0.15,0.4,0.73,0.73
028,300000,9.60,0.15,0.6,0.73,0.73
029,300000,9.60,0.20,0.0,0.73,0.73
030,300000,9.60,0.20,0.2,0.73,0.73
031,300000,9.60,0.20,0.4,0.73,0.73
032,300000,9.60,0.20,0.6,0.73,0.73
033,300000,9.60,0.25,0.0,0.73,0.73
034,300000,9.60,0.25,0.2,0.73,0.73
035,300000,9.60,0.25,0.4,0.73,0.73
036,300000,9.60,0.25,0.6,0.73,0.73
037,300000,9.60,0.30,0.0,0.73,0.73
038,300000,9.60,0.30,0.2,0.73,0.73
039,300000,9.60,0.30,0.4,0.73,0.73
040,300000,9.60,0.30,0.6,0.73,0.73
041,300000,9.65,0.10,0.0,0.73,0.73
042,300000,9.65,0.10,0.2,0.73,0.73
043,300000,9.65,0.10,0.4,0.73,0.73
044,300000,9.65,0.10,0.6,0.73,0.73
045,300000,9.65,0.15,0.0,0.73,0.73
046,300000,9.65,0.15,0.2,0.73,0.73
047,300000,9.65,0.15,0.4,0.73,0.73
048,300000,9.65,0.15,0.6,0.73,0.73
049,300000,9.65,0.20,0.0,0.73,0.73
050,300000,9.65,0.20,0.2,0.73,0.73
051,300000,9.65,0.20,0.4,0.73,0.73
052,300000,9.65,0.20,0.6,0.73,0.73
053,300000,9.65,0.25,0.0,0.73,0.73
054,300000,9.65,0.25,0.2,0.73,0.73
055,300000,9.65,0.25,0.4,0.73,0.73
056,300000,9.65,0.25,0.6,0.73,0.73
057,300000,9.65,0.30,0.0,0.73,0.73
058,300000,9.65,0.30,0.2,0.73,0.73
059,300000,9.65,0.30,0.4,0.73,0.73
060,300000,9.65,0.30,0.6,0.73,0.73
061,300000,9.70,0.10,0.0,0.73,0.73
062,300000,9.70,0.10,0.2,0.73,0.73
063,300000,9.70,0.10,0.4,0.73,0.73
064,300000,9.70,0.10,0.6,0.73,0.73
065,300000,9.70,0.15,0.0,0.73,0.73
066,300000,9.70,0.15,0.2,0.73,0.73
067,300000,9.70,0.15,0.4,0.73,0.73
068,300000,9.70,0.15,0.6,0.73,0.73
069,300000,9.70,0.20,0.0,0.73,0.73
070,300000,9.70,0.20,0.2,0.73,0.73
071,300000,9.70,0.20,0.4,0.73,0.73
072,300000,9.70,0.20,0.6,0.73,0.73
073,300000,9.70,0.25,0.0,0.73,0.73
074,300000,9.70,0.25,0.2,0.73,0.73
075,300000,9.70,0.25,0.4,0.73,0.73
076,300000,9.70,0.25,0.6,0.73,0.73
077,300000,9.70,0.30,0.0,0.73,0.73
078,300000,9.70,0.30,0.2,0.73,0.73
079,300000,9.70,0.30,0.4,0.73,0.73
080,300000,9.70,0.30,0.6,0.73,0.73
081,300000,9.75,0.10,0.0,0.73,0.73
082,300000,9.75,0.10,0.2,0.73,0.73
083,300000,9.75,0.10,0.4,0.73,0.73
084,300000,9.75,0.10,0.6,0.73,0.73
085,300000,9.75,0.15,0.0,0.73,0.73
086,300000,9.75,0.15,0.2,0.73,0.73
087,300000,9.75,0.15,0.4,0.73,0.73
088,300000,9.75,0.15,0.6,0.73,0.73
089,300000,9.75,0.20,0.0,0.73,0.73
090,300000,9.75,0.20,0.2,0.73,0.73
091,300000,9.75,0.20,0.4,0.73,0.73
092,300000,9.75,0.20,0.6,0.73,0.73
093,300000,9.75,0.25,0.0,0.73,0.73
094,300000,9.75,0.25,0.2,0.73,0.73
095,300000,9.75,0.25,0.4,0.73,0.73
096,300000,9.75,0.25,0.6,0.73,0.73
097,300000,9.75,0.30,0.0,0.73,0.73
098,300000,9.75,0.30,0.2,0.73,0.73
099,300000,9.75,0.30,0.4,0.73,0.73
100,300000,9.75,0.30,0.6,0.73,0.73
101,300000,9.80,0.10,0.0,0.73,0.73
102,300000,9.80,0.10,0.2,0.73,0.73
103,300000,9.80,0.10,0.4,0.73,0.73
104,300000,9.80,0.10,0.6,0.73,0.73
105,300000,9.80,0.15,0.0,0.73,0.73
106,300000,9.80,0.15,0.2,0.73,0.73
107,300000,9.80,0.15,0.4,0.73,0.73
