run_id,beamOn,Emean_MeV,sigmaE_MeV,sigmaTheta_deg,sigma_x_mm,sigma_y_mm
001,300000,9.3,0.10,0.0,0.73,0.73
002,300000,9.3,0.10,0.4,0.73,0.73
003,300000,9.3,0.20,0.0,0.73,0.73
004,300000,9.3,0.20,0.4,0.73,0.73
005,300000,9.3,0.30,0.0,0.73,0.73
006,300000,9.3,0.30,0.4,0.73,0.73
007,300000,9.3,0.40,0.0,0.73,0.73
008,300000,9.3,0.40,0.4,0.73,0.73

009,300000,9.4,0.10,0.0,0.73,0.73
010,300000,9.4,0.10,0.4,0.73,0.73
011,300000,9.4,0.20,0.0,0.73,0.73
012,300000,9.4,0.20,0.4,0.73,0.73
013,300000,9.4,0.30,0.0,0.73,0.73
014,300000,9.4,0.30,0.4,0.73,0.73
015,300000,9.4,0.40,0.0,0.73,0.73
016,300000,9.4,0.40,0.4,0.73,0.73

017,300000,9.5,0.10,0.0,0.73,0.73
018,300000,9.5,0.10,0.4,0.73,0.73
019,300000,9.5,0.20,0.0,0.73,0.73
020,300000,9.5,0.20,0.4,0.73,0.73
021,300000,9.5,0.30,0.0,0.73,0.73
022,300000,9.5,0.30,0.4,0.73,0.73
023,300000,9.5,0.40,0.0,0.73,0.73
024,300000,9.5,0.40,0.4,0.73,0.73

025,300000,9.6,0.10,0.0,0.73,0.73
026,300000,9.6,0.10,0.4,0.73,0.73
027,300000,9.6,0.20,0.0,0.73,0.73
028,300000,9.6,0.20,0.4,0.73,0.73
029,300000,9.6,0.30,0.0,0.73,0.73
030,300000,9.6,0.30,0.4,0.73,0.73
031,300000,9.6,0.40,0.0,0.73,0.73
032,300000,9.6,0.40,0.4,0.73,0.73

033,300000,9.7,0.10,0.0,0.73,0.73
034,300000,9.7,0.10,0.4,0.73,0.73
035,300000,9.7,0.20,0.0,0.73,0.73
036,300000,9.7,0.20,0.4,0.73,0.73
037,300000,9.7,0.30,0.0,0.73,0.73
038,300000,9.7,0.30,0.4,0.73,0.73
039,300000,9.7,0.40,0.0,0.73,0.73
040,300000,9.7,0.40,0.4,0.73,0.73

041,300000,9.8,0.10,0.0,0.73,0.73
042,300000,9.8,0.10,0.4,0.73,0.73
043,300000,9.8,0.20,0.0,0.73,0.73
044,300000,9.8,0.20,0.4,0.73,0.73
045,300000,9.8,0.30,0.0,0.73,0.73
046,300000,9.8,0.30,0.4,0.73,0.73
047,300000,9.8,0.40,0.0,0.73,0.73
048,300000,9.8,0.40,0.4,0.73,0.73

049,300000,9.9,0.10,0.0,0.73,0.73
050,300000,9.9,0.10,0.4,0.73,0.73
051,300000,9.9,0.20,0.0,0.73,0.73
052,300000,9.9,0.20,0.4,0.73,0.73
053,300000,9.9,0.30,0.0,0.73,0.73
054,300000,9.9,0.30,0.4,0.73,0.73
055,300000,9.9,0.40,0.0,0.73,0.73
056,300000,9.9,0.40,0.4,0.73,0.73

057,300000,10.0,0.10,0.0,0.73,0.73
058,300000,10.0,0.10,0.4,0.73,0.73
059,300000,10.0,0.20,0.0,0.73,0.73
060,300000,10.0,0.20,0.4,0.73,0.73
061,300000,10.0,0.30,0.0,0.73,0.73
062,300000,10.0,0.30,0.4,0.73,0.73
063,300000,10.0,0.40,0.0,0.73,0.73
064,300000,10.0,0.40,0.4,0.73,0.73

065,300000,10.1,0.10,0.0,0.73,0.73
066,300000,10.1,0.10,0.4,0.73,0.73
067,300000,10.1,0.20,0.0,0.73,0.73
068,300000,10.1,0.20,0.4,0.73,0.73
069,300000,10.1,0.30,0.0,0.73,0.73
070,300000,10.1,0.30,0.4,0.73,0.73
071,300000,10.1,0.40,0.0,0.73,0.73
072,300000,10.1,0.40,0.4,0.73,0.73

073,300000,10.2,0.10,0.0,0.73,0.73
074,300000,10.2,0.10,0.4,0.73,0.73
075,300000,10.2,0.20,0.0,0.73,0.73
076,300000,10.2,0.20,0.4,0.73,0.73
077,300000,10.2,0.30,0.0,0.73,0.73
078,300000,10.2,0.30,0.4,0.73,0.73
079,300000,10.2,0.40,0.0,0.73,0.73
080,300000,10.2,0.40,0.4,0.73,0.73
